"term","estimate","std.error","p.value","conf.low","conf.high"
"cp_x_log_population",0.0112018864898048,0.125858189568176,0.929078704769359,-0.235475632223235,0.257879405202845
"cp_x_log_pop_density",-0.34067764303019,0.104085766662732,0.0010639465152322,-0.544681996992385,-0.136673289067995
"cp_x_log_gdp_pc",-0.200455148005553,0.320763426107617,0.532016060117737,-0.829139910734156,0.428229614723051
"lez_x_unemployment",0.0343612276680935,0.0888323577659759,0.698897012168019,-0.139746994214996,0.208469449551183
"lez_x_education_share",0.0285926857340619,0.022982908002147,0.213468366997574,-0.0164529862101437,0.0736383576782674
"lez_x_public_transit_score",-0.0107667398069044,0.0107864439565268,0.318195355954499,-0.0319077814829567,0.0103743018691479
"lez_x_road_km_pc",-0.0992105876448656,0.105521738669955,0.347119604032902,-0.306029395024025,0.107608219734294
"lez_x_tourism_intensity",-0.097533990890053,0.0851051076930264,0.251777953804773,-0.264336936868787,0.0692689550886815
"lez_x_logistics_activity",0.000682835443489626,0.00355059756127452,0.847494967867904,-0.00627620790020418,0.00764187878718343
"lez_x_political_green",-0.743457486452044,1.57789784616808,0.637519630690617,-3.83608043622479,2.34916546332071
"lez_x_fiscal_capacity",0.737004802392237,0.838236492047156,0.379275202932779,-0.905908532547385,2.37991813733186
"lez_x_electoral_competitiveness",-0.298620705505057,0.778293991506443,0.701211002577658,-1.82404889824161,1.22680748723149
"lez_x_ngo_environment_index",-0.00456693107784002,0.00394221918927941,0.246673486159094,-0.0122935387079904,0.00315967655231032
"lez_x_national_climate_pact",-0.0604422670084137,0.12688213115513,0.633814024832688,-0.309126674354156,0.188242140337328
"lez_x_electricity_price",-0.00289189819680938,0.00162698131450851,0.0754921833498276,-0.0060807229767657,0.000296926583146936
"lez_x_fuel_price",-0.0545982581177529,1.57618173958346,0.972367147912752,-3.14385770079102,3.03466118455552
"lez_x_temp_anomaly",-0.122811871937912,0.079885021204291,0.124205679231553,-0.279383636402541,0.0337598925267165
"lez_x_precip",-0.000222004180995077,0.00056093076135508,0.69226864198822,-0.00132140827107166,0.000877399909081511
"lez_x_heating_degree_days",-0.00029613774603498,0.000205689342839344,0.149942937525187,-0.000699281450003805,0.000107005957933845
"lez_x_renewable_electricity_share",-0.0132451215429126,0.0083529339583569,0.112810798206124,-0.0296165712665337,0.00312632818070852
"lez_x_industry_manufacturing",-0.952885365298712,0.521806836885179,0.0678311884113908,-1.97560797248043,0.069837241883005
"lez_x_industry_services",-0.297300893585389,0.550538345827922,0.58918427187546,-1.37633622351637,0.781734436345595
"lez_x_industry_logistics",-0.897139182954731,0.806820164081843,0.26616204635043,-2.47847764655584,0.684199280646378
"lez_x_elevation",0.000166060581147224,0.000251764925627805,0.509519640523496,-0.000327389605653679,0.000659510767948127
"lez_x_coastal",0.0848021341957104,0.0951995685899693,0.373045727232035,-0.10178559158438,0.271389859975801
"lez_x_latitude_zone2",0.134988255844286,0.130491842742252,0.300922369707928,-0.120771056206793,0.390747567895364
"lez_x_latitude_zone3",0.0916001497243164,0.218520777805314,0.675082547337316,-0.336692704647779,0.519893004096412
"lez_x_museum_visitors_pc",-0.0687277878542032,0.0578803294406172,0.235065216298767,-0.182171148971126,0.0447155732627199
"lez_x_library_count",0.0391291761194877,0.106049207863898,0.712148681077758,-0.168723451882754,0.246981804121729
"lez_x_streetlight_density",0.0051445872758168,0.00348516749100842,0.139906918337881,-0.00168621548664953,0.0119753900382831
"lez_x_fountain_count",-0.0361883690657079,0.0254203472607989,0.154562720799506,-0.0860113341713751,0.0136345960399593
